Dataset,Gene_ID,Gene_Length,Num_Exons,Num_Introns,Avg_Exon_Length,Avg_Intron_Length,Coding_Ratio,GC_Content
Arabidopsis,evm.TU.5.1,2118,1,0,2118.0,0.0,1.0,0.4145420207743154
Arabidopsis,evm.TU.5.2,3737,4,3,831.0,137.66666666666666,0.8894835429488895,0.40085630184640086
Arabidopsis,evm.TU.5.3,167,1,0,167.0,0.0,1.0,0.40119760479041916
Arabidopsis,evm.TU.5.4,4155,4,3,972.0,89.0,0.935740072202166,0.4038507821901324
Arabidopsis,evm.TU.5.5,4223,6,5,599.0,125.8,0.8510537532559792,0.40563580393085485
Arabidopsis,evm.TU.5.6,6146,13,12,372.46153846153845,108.66666666666667,0.7878294825903026,0.39554181581516434
Arabidopsis,evm.TU.5.7,2621,3,2,810.0,95.5,0.9271270507439908,0.3884013735215567
Arabidopsis,evm.TU.5.8,4501,6,5,623.0,152.6,0.8304821150855366,0.4047989335703177
Arabidopsis,evm.TU.5.9,2979,4,3,675.75,92.0,0.9073514602215509,0.4028197381671702
Arabidopsis,evm.TU.5.10,3891,4,3,908.25,86.0,0.9336931380107941,0.4166024158314058
Arabidopsis,evm.TU.5.11,3520,5,4,605.4,123.25,0.8599431818181819,0.4011363636363636
Arabidopsis,evm.TU.5.12,2877,3,2,902.0,85.5,0.940563086548488,0.40528328119568996
Arabidopsis,evm.TU.5.13,4137,7,6,509.57142857142856,95.0,0.8622189992748368,0.38917089678510997
Arabidopsis,evm.TU.5.14,3555,4,3,795.0,125.0,0.8945147679324894,0.3850914205344585
Arabidopsis,evm.TU.5.15,5579,4,3,782.25,816.6666666666666,0.560853199498118,0.34092131206309373
Arabidopsis,evm.TU.5.16,3244,4,3,740.25,94.33333333333333,0.9127620221948212,0.39395807644882863
Arabidopsis,evm.TU.5.17,2522,5,4,397.2,134.0,0.7874702616970658,0.37866772402854876
Arabidopsis,evm.TU.5.18,1380,1,0,1380.0,0.0,1.0,0.42246376811594205
Arabidopsis,evm.TU.5.19,3380,5,4,610.8,81.5,0.9035502958579882,0.4260355029585799
Arabidopsis,evm.TU.5.20,2947,3,2,921.0,92.0,0.9375636240244316,0.39871055310485237
Arabidopsis,evm.TU.5.21,391,2,1,141.0,109.0,0.7212276214833759,0.3836317135549872
Arabidopsis,evm.TU.5.22,1780,4,3,381.0,85.33333333333333,0.8561797752808988,0.3960674157303371
Arabidopsis,evm.TU.5.23,3405,4,3,779.25,96.0,0.9154185022026432,0.39559471365638765
Arabidopsis,evm.TU.5.24,3554,4,3,814.5,98.66666666666667,0.9167135621834552,0.40377039954980304
Arabidopsis,evm.TU.5.25,3549,6,5,523.5,81.6,0.8850380388841927,0.4088475626937165
Arabidopsis,evm.TU.5.26,3481,4,3,801.75,91.33333333333333,0.9212869864981327,0.403045101982189
Arabidopsis,evm.TU.5.27,3529,3,2,909.0,401.0,0.772740153017852,0.37546047038821195
Arabidopsis,evm.TU.5.28,2547,1,0,2547.0,0.0,1.0,0.38987043580683156
Arabidopsis,evm.TU.5.29,2589,1,0,2589.0,0.0,1.0,0.3947470065662418
Arabidopsis,evm.TU.5.30,4516,7,6,509.14285714285717,158.66666666666666,0.7891939769707705,0.39149689991142606
Arabidopsis,evm.TU.5.31,3943,5,4,702.6,107.5,0.890945980218108,0.4057823991884352
Arabidopsis,evm.TU.5.32,4790,7,6,588.4285714285714,111.83333333333333,0.8599164926931107,0.40688935281837163
Arabidopsis,evm.TU.5.33,4030,5,4,699.6,133.0,0.8679900744416873,0.40024813895781636
Arabidopsis,evm.TU.5.34,1356,2,1,379.5,597.0,0.5597345132743363,0.3827433628318584
Arabidopsis,evm.TU.5.35,6366,5,4,757.2,645.0,0.5947219604147032,0.36490732013823435
Arabidopsis,evm.TU.5.36,2998,4,3,544.5,273.3333333333333,0.7264843228819213,0.3829219479653102
Arabidopsis,evm.TU.5.37,6157,6,5,613.0,495.8,0.5973688484651616,0.370797466298522
Arabidopsis,evm.TU.5.38,5384,10,9,245.7,325.22222222222223,0.4563521545319465,0.3597696879643388
Arabidopsis,evm.TU.5.39,4109,5,4,730.8,113.75,0.889267461669506,0.4112922852275493
Arabidopsis,evm.TU.5.40,4034,5,4,712.8,117.5,0.8834903321764997,0.4152206246901339
Arabidopsis,evm.TU.5.41,1065,1,0,1065.0,0.0,1.0,0.4450704225352113
Arabidopsis,evm.TU.5.42,4257,6,5,603.0,127.8,0.8498942917547568,0.37961005402865866
Arabidopsis,evm.TU.5.43,4258,7,6,491.14285714285717,136.66666666666666,0.8074213245655237,0.3877407233442931
Arabidopsis,evm.TU.5.44,3929,5,4,674.4,139.25,0.858233647238483,0.39221175871723085
Arabidopsis,evm.TU.5.45,4109,6,5,564.0,145.0,0.8235580433195425,0.38622535896811877
Arabidopsis,evm.TU.5.46,3116,5,4,539.4,104.75,0.8655327342747111,0.37323491655969193
Arabidopsis,evm.TU.5.47,4760,6,5,677.0,139.6,0.8533613445378151,0.40399159663865547
Arabidopsis,evm.TU.5.48,4137,6,5,584.5,126.0,0.8477157360406091,0.3937635968092821
Arabidopsis,evm.TU.5.49,2532,1,0,2532.0,0.0,1.0,0.41034755134281203
Arabidopsis,evm.TU.5.50,3106,2,1,1423.5,259.0,0.916613007083065,0.4085640695428204
Arabidopsis,evm.TU.5.51,2403,5,4,374.4,132.75,0.7790262172284644,0.4165626300457761
